,Message Error
1,Error exec AgglomerativeClustering with params affinity = euclidean linkage = single k = 2
2,Error exec AgglomerativeClustering with params affinity = l1 linkage = single k = 2
3,Error exec AgglomerativeClustering with params affinity = l2 linkage = single k = 2
4,Error exec AgglomerativeClustering with params affinity = manhattan linkage = single k = 2
5,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 2
6,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 2
7,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 2
8,Error exec AgglomerativeClustering with params affinity = cosine linkage = single k = 2
